#z_cmb mb dmb
0.334704 22.93445 0.12605
0.331014 22.8802 0.11765
0.403935 24.0377 0.2056
0.464238 24.34685 0.17385
0.444003 24.3605 0.17435
0.270839 22.28785 0.1245
0.262439 22.05915 0.12645
0.220941 21.40915 0.1028
0.318058 23.21635 0.1587
0.486358 24.41155 0.1642
0.409385 23.79645 0.24445
0.472832 24.40275 0.16645
0.441041 24.2188 0.11585
0.371176 23.3354 0.1666
0.174066 20.64495 0.10525
0.461937 24.1237 0.1478
0.35846 23.1648 0.1335
0.499098 24.69965 0.1408
0.368264 23.34385 0.1258
0.443381 23.85445 0.1588
0.477392 24.37895 0.13735
0.486774 24.66675 0.15105
0.423172 23.8481 0.15575
0.43362 24.10805 0.1549
0.495818 24.828 0.153
0.411986 23.7492 0.1738
0.455972 24.1545 0.1807
0.270393 22.1401 0.1211
0.263937 21.95965 0.1186
0.343306 23.15915 0.14165
0.412449 23.7115 0.26255
0.427305 23.8056 0.16465
0.3718 23.2429 0.12625
0.382956 23.5114 0.1131
0.500697 25.0798 0.19135
0.379129 23.47615 0.1329
0.263802 21.9694 0.11425
0.311081 22.4159 0.12515
0.355919 22.98515 0.13425
0.428793 23.763 0.19155
0.45136 24.3356 0.14625
0.487379 24.68515 0.14485
0.254021 21.9463 0.10555
0.447733 24.0795 0.17055
0.37936 23.7392 0.1593
0.354135 22.8926 0.1438
0.507095 24.7289 0.16015
0.296983 22.35675 0.1192
0.412162 23.90875 0.1805
0.406588 23.844 0.2326
0.482372 24.54795 0.15235
0.428274 23.81055 0.18275
0.318987 22.73255 0.11785
0.489499 24.80665 0.17245
0.456678 24.22255 0.1456
0.360106 23.2428 0.11755
0.453116 24.39785 0.1526
0.366587 23.22495 0.12065
0.463663 24.3693 0.14625
0.461935 24.4442 0.16535
0.369384 23.5694 0.1417
0.328323 22.8653 0.1136
0.407814 23.6132 0.1518
0.245021 21.79365 0.10225
0.156389 20.4558 0.10405
0.405456 23.59755 0.1484
0.479771 24.355 0.1708
0.300043 22.751 0.1294
0.411758 23.95255 0.2153
0.365418 23.38495 0.13845
0.338519 23.11305 0.1165
0.390953 23.62155 0.1659
0.26012 22.2272 0.1136
0.259023 22.14445 0.11065
0.26214 22.23665 0.113
0.46586 24.3402 0.1332
0.480854 24.7687 0.10935
0.295561 22.59095 0.12095
0.471104 24.1804 0.14085
0.324584 22.7752 0.1151
0.367329 23.36785 0.1608
0.446195 24.09575 0.1555
0.39927 23.6337 0.1611
0.427151 24.00735 0.1527
0.424192 23.77845 0.1399
0.270355 22.04575 0.11295
0.459673 24.31865 0.1304
0.179965 20.8469 0.1023
0.393071 23.6259 0.1613
0.375234 23.4022 0.15455
0.432044 23.92525 0.14995
0.319992 22.804 0.1221
0.332162 22.9275 0.13225
0.336588 22.9705 0.1253
0.369991 23.44375 0.14055
0.41147 23.77905 0.15635
0.432167 24.05415 0.16035
0.440732 24.1069 0.13815
0.288494 22.564 0.11045
0.446915 24.55735 0.16345
0.3684 23.6081 0.12955
0.418649 24.0226 0.19335
0.455631 24.3054 0.1427
0.446299 24.2544 0.1837
0.333662 23.0505 0.13595
0.348016 22.9345 0.1665
0.451189 24.1676 0.18525
0.111356 19.4684 0.10355
0.307326 22.57415 0.1349
0.406056 23.9441 0.2905
0.420854 23.90005 0.1628
0.288028 22.44625 0.1075
0.408512 23.7527 0.18375
0.365728 23.2437 0.1229
0.418834 23.87645 0.2029
0.354968 23.16815 0.1249
0.458866 24.3105 0.16975
0.303349 22.36675 0.109
0.231703 21.64245 0.0939
0.367381 23.52355 0.1372
0.257019 22.11525 0.111
0.248651 21.7829 0.10685
0.310135 22.78895 0.14135
0.225838 21.47215 0.12535
0.315664 22.62945 0.13775
0.387337 23.66065 0.20445
0.211742 21.1762 0.0993
0.480495 24.7416 0.1923
0.384699 23.46015 0.1303
0.378206 23.3767 0.1266
0.366399 23.2373 0.13895
0.41848 23.82525 0.2057
0.433941 24.24705 0.1593
0.268958 22.24455 0.1019
0.459027 24.33175 0.14855
0.437127 24.0942 0.17835
0.368587 23.2686 0.09915
0.370566 23.30085 0.13005
0.434578 24.2078 0.16885
0.339411 23.12745 0.1329
0.389391 23.37 0.2329
0.303073 22.5623 0.1145
0.368587 23.46355 0.14025
0.398337 23.74875 0.17955
0.383435 23.4108 0.1628
0.294104 22.5154 0.11755
0.311148 22.36265 0.1377
0.423302 24.04855 0.24055
0.425954 24.26275 0.21515
0.259023 21.74 0.12
0.339829 23.18845 0.1355
0.391594 23.60755 0.1943
0.319996 22.65205 0.12925
0.208541 21.15515 0.1079
0.426178 23.92255 0.19885
0.476645 24.6116 0.16365
0.252353 21.9137 0.10655
0.495909 24.92305 0.1439
0.448638 24.26675 0.14105
0.449863 24.3431 0.12085
0.489991 24.5736 0.1577
0.430748 24.03965 0.1583
0.467507 24.42165 0.14325
0.447215 24.20795 0.1668
0.385459 23.4134 0.138
0.482908 24.7653 0.2009
0.410777 23.78265 0.16195
0.434088 24.3849 0.17855
0.463511 24.39625 0.15285
0.339646 22.98745 0.11725
0.319908 23.1005 0.141
0.481301 24.7789 0.1829
0.38677 23.4092 0.1432
0.381073 23.56625 0.1433
0.36092 23.2891 0.13595
0.358048 23.2494 0.1349
0.423834 24.06925 0.19205
0.207601 21.15835 0.1082
0.432331 23.97575 0.15445
0.461937 24.54425 0.17845
0.35846 23.6061 0.15165
0.324653 22.74835 0.1138
0.479774 24.57175 0.18725
0.322365 22.6952 0.109
0.471794 24.5781 0.1577
0.387217 23.1617 0.17705
